"KHz","ID","Type","Active","LSB","USB","Sec","Fmt","'Name' and Location","SP","ITU","Region","GSQ","Lat","Lon","Pwr","Notes","Heard In","Logs","First Logged","Last Logged"
320,"NX","NDB","Y","1012","1010","8.28","","Domel (PR)","","BRA","sa","GG54um","-25.4792","-48.2917","500","","BRA  IL","21","2000-05-20","2021-11-12"
320,"RUM","NDB","Y","1019","1017","10.08","ID+6"" gap","Innsbruck / Rum","","AUT","eu","JN57rg","47.2708","11.4583","","","AUT  CZE  DEU  DNK  ENG  ESP  FIN  FRA  HNG  HOL  HRV  ITA  LVA  POL  RUS  SCT  SUI  SVK  SVN  SWE  NS","272","2017-02-20","2026-04-25"
320,"YQF","NDB","Y","","395","10.432","DAID","Red Deer","AB","CAN","na","DO32bd","52.1458","-113.875","50","","FIN  AB  AZ  BC  CA  CO  IA  ID  IL  IN  KS  MA  MI  MN  MO  MS  MT  NC  NE  NH  NS  NV  NY  OH  ON  OR  PA  RI  SC  TN  TX  UT  WA  WI  YT  HI","722","1989-01-01","2026-04-26"
321,"ABY","NDB","Y","400","405","10.78","ID+6"" gap","Albert / Bray","","FRA","eu","JN19jx","49.9792","2.7917","","","ENG  BEL  CZE  DEU  DNK  ENG  ESP  FIN  FRA  HNG  HOL  HRV  IRL  ITA  LVA  NIR  NOR  POL  RUS  SCT  SHE  SUI  SVK  SVN  SWE  NS","700","2007-03-21","2026-04-26"
321,"STM","NDB","Y","401","400","8.09","","Scilly Isles / St Mary","","ENG","eu","IN69uv","49.8958","-6.2917","","","CZE  DEU  DNK  ENG  ESP  FIN  FRA  GSY  HOL  IRL  ITA  NIR  NOR  POL  RUS  SAR  SCT  SWE  NS","326","1990-03-14","2025-12-26"
321,"TL","NDB","Y","396","406","10.36","ID+8"" gap","Tarbes / Ossun / Lourdes","","FRA","eu","JN03ag","43.2708","0.0417","100","","BAL  CZE  DEU  DNK  ENG  ESP  FIN  FRA  HNG  HOL  HRV  IRL  ITA  NIR  POL  POR  RUS  SAR  SCT  SUI  SVK  SVN  SWE  NS","314","1984-01-04","2026-05-03"
321,"VO","NDB","Y","415","390","5.3","ID+2"" gap","Vojens / Skrydstrup","","DNK","eu","JO45pf","55.2292","9.2917","","EX SP","BEL  CZE  DEU  DNK  ENG  ESP  FIN  FRA  HNG  HOL  ITA  LVA  NIR  NOR  POL  RUS  SCT  SHE  SUI  SVK  SVN  SWE  NS","665","2007-07-03","2026-04-26"
321,"YSY","NDB","Y","","407","10.179","DAID","Sachs Harbour","NT","CAN","na","CQ71ix","71.9792","-125.292","","","DEU  ENG  FIN  HOL  ISL  NOR  RUS  SCT  SWE  AB  AK  AZ  BC  CA  CO  IL  MI  MN  MO  MT  NE  NS  OR  TX  UT  WA  YT  HI","178","1988-08-22","2026-03-18"
322,"#671","DGPS","Y","","","","","Muju","","KOR","as","PM35sr","35.7292","127.542","","DGPS ; Ref ID: 747 /748 ; 200 bps","KOR  TWN  CA","4","2008-08-06","2016-11-24"
322,"CI","NDB","Y","1040","1037","8.14","","Chatham Islands","CI","NZL","oc","AE16rb","-43.9375","-176.542","","","NCL  NFK  NI  NW  NZL  PAQ  QD  SA  TA  VI  WE  AZ  CA  OR  WA  HI","208","2012-02-06","2025-10-30"
322,"COC","NDB","Y","1027","1015","7.38","","Coca","","EQA","sa","FI19mm","-0.4792","-76.9583","","","IL  NS  PA  TX","14","2020-01-17","2022-02-06"
322,"RL","NDB","Y","400","402","10.12","","La Rochelle / Ile De Re","","FRA","eu","IN96ke","46.1875","-1.125","","","BAL  CZE  DEU  DNK  ENG  ESP  FIN  FRA  GSY  HNG  HOL  HRV  IRL  ITA  NIR  NOR  POL  POR  RUS  SAR  SCT  SHE  SUI  SVK  SVN  SWE  NS","431","1983-09-12","2026-05-21"
322,"TLN","NDB","Y","14","4","18.85","ID+15"" tone","Hyeres / Le Palyvestre","","FRA","eu","JN33ba","43.0208","6.125","50","keyed carrier NDB","CNR  EGY  AUT  BAL  CZE  DEU  DNK  ENG  ESP  FIN  FRA  GRC  HNG  HOL  HRV  IRL  ITA  LVA  NIR  POL  RUS  SAR  SCT  SCY  SUI  SVK  SVN  SWE  NS","690","1996-09-13","2026-05-21"
323,"#950","DGPS","Y","","","","","St. Davids","","BER","na","FM72tp","32.6458","-64.375","","","FL  IL  MD  MI  NC  NH  NS  QC","21","2006-12-23","2016-03-27"
323,"CAR","NDB","Y","406","394","8.12","","Carnarvon","WE","AUS","oc","OG65uc","-24.8958","113.708","","","REU  THA  SWE  NFK  NI  NN  NW  QD  SA  TA  VI  WE  CA","194","2007-04-23","2025-04-25"
323,"GTN","NDB","Y","1046","1037","7.998","","Georgetown","VA","USA","na","FM18kw","38.9375","-77.125","","Although this beacon is actually located in VA (location 38.9298992 / -77.1242158), for NDB List Awards purposes it may count towards either VA or DC as you see fit (Andy Robins, 2005-01-12)","DC  IL  MD  NC  NE  NH  NJ  NS  NY  OH  ON  PA  TX  VA  VT","143","2003-11-11","2026-04-25"
323,"OUK","NDB","Y","","1025","5.993","","Calhoun","GA","USA","na","EM74mj","34.3958","-84.9583","24","!! Decom per NFDD 046 - 2 03/08/2019 // Still transmitting 25 May 2025","SCT  AZ  BC  CO  FL  GA  IL  IN  KS  MI  MO  MS  NC  NE  NH  NJ  NS  NV  OH  ON  PA  SC  TN  TX  VA  WI","302","1995-11-13","2026-04-26"
323,"TAB","NDB","Y","410","404","8.39","ID+5"" gap","Crown Point","","TRD","ca","FK91nd","11.1458","-60.875","","","ATG  CZE  DEU  ENG  ESP  FIN  FRA  HOL  ITA  RUS  SCT  SWE  BRA  ATG  ATN  AZ  BC  CA  CO  FL  IL  IN  KS  MA  ME  MI  MO  NC  NE  NH  NJ  NS  NV  NY  OH  ON  OR  PA  QC  SC  TN  TX  VT  WI","620","2007-09-02","2026-02-22"
324,"EML","NDB","Y","398","402","8.13","","Emerald","QD","AUS","oc","QG46ck","-23.5625","148.208","","","NCL  NI  NN  NW  QD  SA  TA  VI  WE  CA  OR  HI","179","2010-03-30","2025-10-30"
324,"ON","NDB","Y","411","413","4.59","","Norrkoping","","SWE","eu","JO88eo","58.6042","16.375","","","AUT  BEL  CZE  DEU  DNK  ENG  ESP  FIN  FRA  GSY  HNG  HOL  HRV  IRL  ITA  LVA  NIR  NOR  POL  RUS  SAR  SCT  SHE  SUI  SVK  SVN  SWE  NS","843","1988-12-19","2026-05-06"
325,"AST","NDB","Y","1010","1012","7.76","ID+5"" gap","Asturias","","ESP","eu","IN63xn","43.5625","-6.0417","","WAS AVS","CNR  BAL  CZE  DEU  DNK  ENG  ESP  FIN  FRA  GSY  HOL  IRL  ITA  NIR  NOR  POL  POR  RUS  SAR  SCT  SCY  SVN  SWE  IL  NS","494","1997-01-12","2025-12-01"
325,"SKB","NDB","Y","","1020","8.35","","Bradshaw","","SCN","ca","FK87ph","17.3125","-62.7083","","26Feb2020 Bob Coomler reports it is on","SCT  AZ  IL  NC  NE  NS  OH  ON  PA  TX","62","2009-02-25","2025-12-28"
325,"VGH","NDB","Y","1028","1041","6.72","","Varginha (MG)","","BRA","sa","GG78gj","-21.6042","-45.4583","100","","BRA  NS","30","2000-05-20","2020-09-18"
